id,_name,_prefix,_province_id,sync_words
1,Bình Chánh,Huyện,1,"binh chanh,huyen binh chanh"
2,Bình Tân,Quận,1,"binh tan,quan binh tan"
3,Bình Thạnh,Quận,1,"binh thanh,quan binh thanh"
4,Cần Giờ,Huyện,1,"can gio,huyen can gio"
5,Củ Chi,Huyện,1,"cu chi,huyen cu chi"
6,Gò Vấp,Quận,1,"go vap,quan go vap"
7,Hóc Môn,Huyện,1,"hoc mon,huyen hoc mon"
8,Nhà Bè,Huyện,1,"nha be,huyen nha be"
9,Phú Nhuận,Quận,1,"phu nhuan,quan phu nhuan"
10,Quận 1,,1,"quan 1, quan 1"
11,Quận 10,,1,"quan 10, quan 10"
12,Quận 11,,1,"quan 11, quan 11"
13,Quận 12,,1,"quan 12, quan 12"
14,Quận 2,,1,"quan 2, quan 2"
15,Quận 3,,1,"quan 3, quan 3"
16,Quận 4,,1,"quan 4, quan 4"
17,Quận 5,,1,"quan 5, quan 5"
18,Quận 6,,1,"quan 6, quan 6"
19,Quận 7,,1,"quan 7, quan 7"
20,Quận 8,,1,"quan 8, quan 8"
21,Quận 9,,1,"quan 9, quan 9"
22,Tân Bình,Quận,1,"tan binh,quan tan binh"
23,Tân Phú,Quận,1,"tan phu,quan tan phu"
24,Thủ Đức,Quận,1,"thu duc,quan thu duc"
25,Ba Đình,Quận,2,"ba dinh,quan ba dinh"
26,Ba Vì,Huyện,2,"ba vi,huyen ba vi"
27,Bắc Từ Liêm,Quận,2,"bac tu liem,quan bac tu liem"
28,Cầu Giấy,Quận,2,"cau giay,quan cau giay"
29,Chương Mỹ,Huyện,2,"chuong my,huyen chuong my"
30,Đan Phượng,Huyện,2,"dan phuong,huyen dan phuong"
31,Đông Anh,Huyện,2,"dong anh,huyen dong anh"
32,Đống Đa,Quận,2,"dong da,quan dong da"
33,Gia Lâm,Huyện,2,"gia lam,huyen gia lam"
34,Hà Đông,Quận,2,"ha dong,quan ha dong"
35,Hai Bà Trưng,Quận,2,"hai ba trung,quan hai ba trung"
36,Hoài Đức,Huyện,2,"hoai duc,huyen hoai duc"
37,Hoàn Kiếm,Quận,2,"hoan kiem,quan hoan kiem"
38,Hoàng Mai,Quận,2,"hoang mai,quan hoang mai"
39,Long Biên,Quận,2,"long bien,quan long bien"
40,Mê Linh,Huyện,2,"me linh,huyen me linh"
41,Mỹ Đức,Huyện,2,"my duc,huyen my duc"
42,Nam Từ Liêm,Quận,2,"nam tu liem,quan nam tu liem"
43,Phú Xuyên,Huyện,2,"phu xuyen,huyen phu xuyen"
44,Phúc Thọ,Huyện,2,"phuc tho,huyen phuc tho"
45,Quốc Oai,Huyện,2,"quoc oai,huyen quoc oai"
46,Sóc Sơn,Huyện,2,"soc son,huyen soc son"
47,Sơn Tây,Thị xã,2,"son tay,thi xa son tay"
48,Tây Hồ,Quận,2,"tay ho,quan tay ho"
49,Thạch Thất,Huyện,2,"thach that,huyen thach that"
50,Thanh Oai,Huyện,2,"thanh oai,huyen thanh oai"
51,Thanh Trì,Huyện,2,"thanh tri,huyen thanh tri"
52,Thanh Xuân,Quận,2,"thanh xuan,quan thanh xuan"
53,Thường Tín,Huyện,2,"thuong tin,huyen thuong tin"
54,Ứng Hòa,Huyện,2,"ung hoa,huyen ung hoa"
55,Cẩm Lệ,Quận,3,"cam le,quan cam le"
56,Hải Châu,Quận,3,"hai chau,quan hai chau"
57,Hòa Vang,Huyện,3,"hoa vang,huyen hoa vang"
58,Hoàng Sa,Huyện,3,"hoang sa,huyen hoang sa"
59,Liên Chiểu,Quận,3,"lien chieu,quan lien chieu"
60,Ngũ Hành Sơn,Quận,3,"ngu hanh son,quan ngu hanh son"
61,Sơn Trà,Quận,3,"son tra,quan son tra"
62,Thanh Khê,Quận,3,"thanh khe,quan thanh khe"
63,Bàu Bàng,Huyện,4,"bau bang,huyen bau bang"
64,Bến Cát,Thị xã,4,"ben cat,thi xa ben cat"
65,Dầu Tiếng,Huyện,4,"dau tieng,huyen dau tieng"
66,Dĩ An,Thị xã,4,"di an,thi xa di an"
67,Phú Giáo,Huyện,4,"phu giao,huyen phu giao"
68,Tân Uyên,Huyện,4,"tan uyen,huyen tan uyen"
69,Thủ Dầu Một,Thị xã,4,"thu dau mot,thi xa thu dau mot"
70,Thuận An,Huyện,4,"thuan an,huyen thuan an"
71,Biên Hòa,Thành phố,5,"bien hoa,thanh pho bien hoa"
72,Cẩm Mỹ,Huyện,5,"cam my,huyen cam my"
73,Định Quán,Huyện,5,"dinh quan,huyen dinh quan"
74,Long Khánh,Thị xã,5,"long khanh,thi xa long khanh"
75,Long Thành,Huyện,5,"long thanh,huyen long thanh"
76,Nhơn Trạch,Huyện,5,"nhon trach,huyen nhon trach"
77,Tân Phú,Quận,5,"tan phu,quan tan phu"
78,Thống Nhất,Huyện,5,"thong nhat,huyen thong nhat"
79,Trảng Bom,Huyện,5,"trang bom,huyen trang bom"
80,Vĩnh Cửu,Huyện,5,"vinh cuu,huyen vinh cuu"
81,Xuân Lộc,Huyện,5,"xuan loc,huyen xuan loc"
82,Cam Lâm,Huyện,6,"cam lam,huyen cam lam"
83,Cam Ranh,Thành phố,6,"cam ranh,thanh pho cam ranh"
84,Diên Khánh,Huyện,6,"dien khanh,huyen dien khanh"
85,Khánh Sơn,Huyện,6,"khanh son,huyen khanh son"
86,Khánh Vĩnh,Huyện,6,"khanh vinh,huyen khanh vinh"
87,Nha Trang,Thành phố,6,"nha trang,thanh pho nha trang"
88,Ninh Hòa,Thị xã,6,"ninh hoa,thi xa ninh hoa"
89,Trường Sa,Huyện,6,"truong sa,huyen truong sa"
90,Vạn Ninh,Huyện,6,"van ninh,huyen van ninh"
91,An Dương,Huyện,7,"an duong,huyen an duong"
92,An Lão,Huyện,7,"an lao,huyen an lao"
93,Bạch Long Vĩ,Huyện,7,"bach long vi,huyen bach long vi"
94,Cát Hải,Huyện,7,"cat hai,huyen cat hai"
95,Đồ Sơn,Quận,7,"do son,quan do son"
96,Dương Kinh,Quận,7,"duong kinh,quan duong kinh"
97,Hải An,Quận,7,"hai an,quan hai an"
98,Hồng Bàng,Quận,7,"hong bang,quan hong bang"
99,Kiến An,Quận,7,"kien an,quan kien an"
100,Kiến Thụy,Huyện,7,"kien thuy,huyen kien thuy"
101,Lê Chân,Quận,7,"le chan,quan le chan"
102,Ngô Quyền,Quận,7,"ngo quyen,quan ngo quyen"
103,Thủy Nguyên,Huyện,7,"thuy nguyen,huyen thuy nguyen"
104,Tiên Lãng,Huyện,7,"tien lang,huyen tien lang"
105,Vĩnh Bảo,Huyện,7,"vinh bao,huyen vinh bao"
106,Bến Lức,Huyện,8,"ben luc,huyen ben luc"
107,Cần Đước,Huyện,8,"can duoc,huyen can duoc"
108,Cần Giuộc,Huyện,8,"can giuoc,huyen can giuoc"
109,Châu Thành,Huyện,8,"chau thanh,huyen chau thanh"
110,Đức Hòa,Huyện,8,"duc hoa,huyen duc hoa"
111,Đức Huệ,Huyện,8,"duc hue,huyen duc hue"
112,Kiến Tường,Thị xã,8,"kien tuong,thi xa kien tuong"
113,Mộc Hóa,Huyện,8,"moc hoa,huyen moc hoa"
114,Tân An,Thành phố,8,"tan an,thanh pho tan an"
115,Tân Hưng,Huyện,8,"tan hung,huyen tan hung"
116,Tân Thạnh,Huyện,8,"tan thanh,huyen tan thanh"
117,Tân Trụ,Huyện,8,"tan tru,huyen tan tru"
118,Thạnh Hóa,Huyện,8,"thanh hoa,huyen thanh hoa"
119,Thủ Thừa,Huyện,8,"thu thua,huyen thu thua"
120,Vĩnh Hưng,Huyện,8,"vinh hung,huyen vinh hung"
121,Bắc Trà My,Huyện,9,"bac tra my,huyen bac tra my"
122,Đại Lộc,Huyện,9,"dai loc,huyen dai loc"
123,Điện Bàn,Huyện,9,"dien ban,huyen dien ban"
124,Đông Giang,Huyện,9,"dong giang,huyen dong giang"
125,Duy Xuyên,Huyện,9,"duy xuyen,huyen duy xuyen"
126,Hiệp Đức,Huyện,9,"hiep duc,huyen hiep duc"
127,Hội An,Thành phố,9,"hoi an,thanh pho hoi an"
128,Nam Giang,Huyện,9,"nam giang,huyen nam giang"
129,Nam Trà My,Huyện,9,"nam tra my,huyen nam tra my"
130,Nông Sơn,Huyện,9,"nong son,huyen nong son"
131,Núi Thành,Huyện,9,"nui thanh,huyen nui thanh"
132,Phú Ninh,Huyện,9,"phu ninh,huyen phu ninh"
133,Phước Sơn,Huyện,9,"phuoc son,huyen phuoc son"
134,Quế Sơn,Huyện,9,"que son,huyen que son"
135,Tam Kỳ,Thành phố,9,"tam ky,thanh pho tam ky"
136,Tây Giang,Huyện,9,"tay giang,huyen tay giang"
137,Thăng Bình,Huyện,9,"thang binh,huyen thang binh"
138,Tiên Phước,Huyện,9,"tien phuoc,huyen tien phuoc"
139,Bà Rịa,Thị xã,10,"ba ria,thi xa ba ria"
140,Châu Đức,Huyện,10,"chau duc,huyen chau duc"
141,Côn Đảo,Huyện,10,"con dao,huyen con dao"
142,Đất Đỏ,Huyện,10,"dat do,huyen dat do"
143,Long Điền,Huyện,10,"long dien,huyen long dien"
144,Tân Thành,Huyện,10,"tan thanh,huyen tan thanh"
145,Vũng Tàu,Thành phố,10,"vung tau,thanh pho vung tau"
146,Xuyên Mộc,Huyện,10,"xuyen moc,huyen xuyen moc"
147,Buôn Đôn,Huyện,11,"buon don,huyen buon don"
148,Buôn Hồ,Thị xã,11,"buon ho,thi xa buon ho"
149,Buôn Ma Thuột,Thành phố,11,"buon ma thuot,thanh pho buon ma thuot"
150,Cư Kuin,Huyện,11,"cu kuin,huyen cu kuin"
151,Cư M'gar,Huyện,11,"cu m'gar,huyen cu m'gar"
152,Ea H'Leo,Huyện,11,"ea h'leo,huyen ea h'leo"
153,Ea Kar,Huyện,11,"ea kar,huyen ea kar"
154,Ea Súp,Huyện,11,"ea sup,huyen ea sup"
155,Krông Ana,Huyện,11,"krong ana,huyen krong ana"
156,Krông Bông,Huyện,11,"krong bong,huyen krong bong"
157,Krông Buk,Huyện,11,"krong buk,huyen krong buk"
158,Krông Năng,Huyện,11,"krong nang,huyen krong nang"
159,Krông Pắc,Huyện,11,"krong pac,huyen krong pac"
160,Lăk,Huyện,11,"lak,huyen lak"
161,M'Đrăk,Huyện,11,"m'drak,huyen m'drak"
162, Thới Lai,Huyện,12," thoi lai,huyen  thoi lai"
163,Bình Thủy,Quận,12,"binh thuy,quan binh thuy"
164,Cái Răng,Quận,12,"cai rang,quan cai rang"
165,Cờ Đỏ,Huyện,12,"co do,huyen co do"
166,Ninh Kiều,Quận,12,"ninh kieu,quan ninh kieu"
167,Ô Môn,Quận,12,"o mon,quan o mon"
168,Phong Điền,Huyện,12,"phong dien,huyen phong dien"
169,Thốt Nốt,Quận,12,"thot not,quan thot not"
170,Vĩnh Thạnh,Huyện,12,"vinh thanh,huyen vinh thanh"
171,Bắc Bình,Huyện,13,"bac binh,huyen bac binh"
172,Đảo Phú Quý,Huyện,13,"dao phu quy,huyen dao phu quy"
173,Đức Linh,Huyện,13,"duc linh,huyen duc linh"
174,Hàm Tân,Huyện,13,"ham tan,huyen ham tan"
175,Hàm Thuận Bắc,Huyện,13,"ham thuan bac,huyen ham thuan bac"
176,Hàm Thuận Nam,Huyện,13,"ham thuan nam,huyen ham thuan nam"
177,La Gi,Thị xã,13,"la gi,thi xa la gi"
178,Phan Thiết,Thành phố,13,"phan thiet,thanh pho phan thiet"
179,Tánh Linh,Huyện,13,"tanh linh,huyen tanh linh"
180,Tuy Phong,Huyện,13,"tuy phong,huyen tuy phong"
181,Bảo Lâm,Huyện,14,"bao lam,huyen bao lam"
182,Bảo Lộc,Thành phố,14,"bao loc,thanh pho bao loc"
183,Cát Tiên,Huyện,14,"cat tien,huyen cat tien"
184,Đạ Huoai,Huyện,14,"da huoai,huyen da huoai"
185,Đà Lạt,Thành phố,14,"da lat,thanh pho da lat"
186,Đạ Tẻh,Huyện,14,"da teh,huyen da teh"
187,Đam Rông,Huyện,14,"dam rong,huyen dam rong"
188,Di Linh,Huyện,14,"di linh,huyen di linh"
189,Đơn Dương,Huyện,14,"don duong,huyen don duong"
190,Đức Trọng,Huyện,14,"duc trong,huyen duc trong"
191,Lạc Dương,Huyện,14,"lac duong,huyen lac duong"
192,Lâm Hà,Huyện,14,"lam ha,huyen lam ha"
193,A Lưới,Huyện,15,"a luoi,huyen a luoi"
194,Huế,Thành phố,15,"hue,thanh pho hue"
195,Hương Thủy,Thị xã,15,"huong thuy,thi xa huong thuy"
196,Hương Trà,Huyện,15,"huong tra,huyen huong tra"
197,Nam Đông,Huyện,15,"nam dong,huyen nam dong"
198,Phong Điền,Huyện,15,"phong dien,huyen phong dien"
199,Phú Lộc,Huyện,15,"phu loc,huyen phu loc"
200,Phú Vang,Huyện,15,"phu vang,huyen phu vang"
201,Quảng Điền,Huyện,15,"quang dien,huyen quang dien"
202,An Biên,Huyện,16,"an bien,huyen an bien"
203,An Minh,Huyện,16,"an minh,huyen an minh"
204,Châu Thành,Huyện,16,"chau thanh,huyen chau thanh"
205,Giang Thành,Huyện,16,"giang thanh,huyen giang thanh"
206,Giồng Riềng,Huyện,16,"giong rieng,huyen giong rieng"
207,Gò Quao,Huyện,16,"go quao,huyen go quao"
208,Hà Tiên,Thị xã,16,"ha tien,thi xa ha tien"
209,Hòn Đất,Huyện,16,"hon dat,huyen hon dat"
210,Kiên Hải,Huyện,16,"kien hai,huyen kien hai"
211,Kiên Lương,Huyện,16,"kien luong,huyen kien luong"
212,Phú Quốc,Huyện,16,"phu quoc,huyen phu quoc"
213,Rạch Giá,Thành phố,16,"rach gia,thanh pho rach gia"
214,Tân Hiệp,Huyện,16,"tan hiep,huyen tan hiep"
215,U minh Thượng,Huyện,16,"u minh thuong,huyen u minh thuong"
216,Vĩnh Thuận,Huyện,16,"vinh thuan,huyen vinh thuan"
217,Bắc Ninh,Thành phố,17,"bac ninh,thanh pho bac ninh"
218,Gia Bình,Huyện,17,"gia binh,huyen gia binh"
219,Lương Tài,Huyện,17,"luong tai,huyen luong tai"
220,Quế Võ,Huyện,17,"que vo,huyen que vo"
221,Thuận Thành,Huyện,17,"thuan thanh,huyen thuan thanh"
222,Tiên Du,Huyện,17,"tien du,huyen tien du"
223,Từ Sơn,Thị xã,17,"tu son,thi xa tu son"
224,Yên Phong,Huyện,17,"yen phong,huyen yen phong"
225,Ba Chẽ,Huyện,18,"ba che,huyen ba che"
226,Bình Liêu,Huyện,18,"binh lieu,huyen binh lieu"
227,Cẩm Phả,Thành phố,18,"cam pha,thanh pho cam pha"
228,Cô Tô,Huyện,18,"co to,huyen co to"
229,Đầm Hà,Huyện,18,"dam ha,huyen dam ha"
230,Đông Triều,Huyện,18,"dong trieu,huyen dong trieu"
231,Hạ Long,Thành phố,18,"ha long,thanh pho ha long"
232,Hải Hà,Huyện,18,"hai ha,huyen hai ha"
233,Hoành Bồ,Huyện,18,"hoanh bo,huyen hoanh bo"
234,Móng Cái,Thành phố,18,"mong cai,thanh pho mong cai"
235,Quảng Yên,Huyện,18,"quang yen,huyen quang yen"
236,Tiên Yên,Huyện,18,"tien yen,huyen tien yen"
237,Uông Bí,Thị xã,18,"uong bi,thi xa uong bi"
238,Vân Đồn,Huyện,18,"van don,huyen van don"
239,Bá Thước,Huyện,19,"ba thuoc,huyen ba thuoc"
240,Bỉm Sơn,Thị xã,19,"bim son,thi xa bim son"
241,Cẩm Thủy,Huyện,19,"cam thuy,huyen cam thuy"
242,Đông Sơn,Huyện,19,"dong son,huyen dong son"
243,Hà Trung,Huyện,19,"ha trung,huyen ha trung"
244,Hậu Lộc,Huyện,19,"hau loc,huyen hau loc"
245,Hoằng Hóa,Huyện,19,"hoang hoa,huyen hoang hoa"
246,Lang Chánh,Huyện,19,"lang chanh,huyen lang chanh"
247,Mường Lát,Huyện,19,"muong lat,huyen muong lat"
248,Nga Sơn,Huyện,19,"nga son,huyen nga son"
249,Ngọc Lặc,Huyện,19,"ngoc lac,huyen ngoc lac"
250,Như Thanh,Huyện,19,"nhu thanh,huyen nhu thanh"
251,Như Xuân,Huyện,19,"nhu xuan,huyen nhu xuan"
252,Nông Cống,Huyện,19,"nong cong,huyen nong cong"
253,Quan Hóa,Huyện,19,"quan hoa,huyen quan hoa"
254,Quan Sơn,Huyện,19,"quan son,huyen quan son"
255,Quảng Xương,Huyện,19,"quang xuong,huyen quang xuong"
256,Sầm Sơn,Thị xã,19,"sam son,thi xa sam son"
257,Thạch Thành,Huyện,19,"thach thanh,huyen thach thanh"
258,Thanh Hóa,Thành phố,19,"thanh hoa,thanh pho thanh hoa"
259,Thiệu Hóa,Huyện,19,"thieu hoa,huyen thieu hoa"
260,Thọ Xuân,Huyện,19,"tho xuan,huyen tho xuan"
261,Thường Xuân,Huyện,19,"thuong xuan,huyen thuong xuan"
262,Tĩnh Gia,Huyện,19,"tinh gia,huyen tinh gia"
263,Triệu Sơn,Huyện,19,"trieu son,huyen trieu son"
264,Vĩnh Lộc,Huyện,19,"vinh loc,huyen vinh loc"
265,Yên Định,Huyện,19,"yen dinh,huyen yen dinh"
266,Anh Sơn,Huyện,20,"anh son,huyen anh son"
267,Con Cuông,Huyện,20,"con cuong,huyen con cuong"
268,Cửa Lò,Thị xã,20,"cua lo,thi xa cua lo"
269,Diễn Châu,Huyện,20,"dien chau,huyen dien chau"
270,Đô Lương,Huyện,20,"do luong,huyen do luong"
271,Hoàng Mai,Thị xã,20,"hoang mai,thi xa hoang mai"
272,Hưng Nguyên,Huyện,20,"hung nguyen,huyen hung nguyen"
273,Kỳ Sơn,Huyện,20,"ky son,huyen ky son"
274,Nam Đàn,Huyện,20,"nam dan,huyen nam dan"
275,Nghi Lộc,Huyện,20,"nghi loc,huyen nghi loc"
276,Nghĩa Đàn,Huyện,20,"nghia dan,huyen nghia dan"
277,Quế Phong,Huyện,20,"que phong,huyen que phong"
278,Quỳ Châu,Huyện,20,"quy chau,huyen quy chau"
279,Quỳ Hợp,Huyện,20,"quy hop,huyen quy hop"
280,Quỳnh Lưu,Huyện,20,"quynh luu,huyen quynh luu"
281,Tân Kỳ,Huyện,20,"tan ky,huyen tan ky"
282,Thái Hòa,Thị xã,20,"thai hoa,thi xa thai hoa"
283,Thanh Chương,Huyện,20,"thanh chuong,huyen thanh chuong"
284,Tương Dương,Huyện,20,"tuong duong,huyen tuong duong"
285,Vinh,Thành phố,20,"vinh,thanh pho vinh"
286,Yên Thành,Huyện,20,"yen thanh,huyen yen thanh"
287,Bình Giang,Huyện,21,"binh giang,huyen binh giang"
288,Cẩm Giàng,Huyện,21,"cam giang,huyen cam giang"
289,Chí Linh,Thị xã,21,"chi linh,thi xa chi linh"
290,Gia Lộc,Huyện,21,"gia loc,huyen gia loc"
291,Hải Dương,Thành phố,21,"hai duong,thanh pho hai duong"
292,Kim Thành,Huyện,21,"kim thanh,huyen kim thanh"
293,Kinh Môn,Huyện,21,"kinh mon,huyen kinh mon"
294,Nam Sách,Huyện,21,"nam sach,huyen nam sach"
295,Ninh Giang,Huyện,21,"ninh giang,huyen ninh giang"
296,Thanh Hà,Huyện,21,"thanh ha,huyen thanh ha"
297,Thanh Miện,Huyện,21,"thanh mien,huyen thanh mien"
298,Tứ Kỳ,Huyện,21,"tu ky,huyen tu ky"
299,An Khê,Thị xã,22,"an khe,thi xa an khe"
300,AYun Pa,Thị xã,22,"ayun pa,thi xa ayun pa"
301,Chư Păh,Huyện,22,"chu pah,huyen chu pah"
302,Chư Pưh,Huyện,22,"chu puh,huyen chu puh"
303,Chư Sê,Huyện,22,"chu se,huyen chu se"
304,ChưPRông,Huyện,22,"chuprong,huyen chuprong"
305,Đăk Đoa,Huyện,22,"dak doa,huyen dak doa"
306,Đăk Pơ,Huyện,22,"dak po,huyen dak po"
307,Đức Cơ,Huyện,22,"duc co,huyen duc co"
308,Ia Grai,Huyện,22,"ia grai,huyen ia grai"
309,Ia Pa,Huyện,22,"ia pa,huyen ia pa"
310,KBang,Huyện,22,"kbang,huyen kbang"
311,Kông Chro,Huyện,22,"kong chro,huyen kong chro"
312,Krông Pa,Huyện,22,"krong pa,huyen krong pa"
313,Mang Yang,Huyện,22,"mang yang,huyen mang yang"
314,Phú Thiện,Huyện,22,"phu thien,huyen phu thien"
315,Plei Ku,Thành phố,22,"plei ku,thanh pho plei ku,pleiku"
316,Bình Long,Thị xã,23,"binh long,thi xa binh long"
317,Bù Đăng,Huyện,23,"bu dang,huyen bu dang"
318,Bù Đốp,Huyện,23,"bu dop,huyen bu dop"
319,Bù Gia Mập,Huyện,23,"bu gia map,huyen bu gia map"
320,Chơn Thành,Huyện,23,"chon thanh,huyen chon thanh"
321,Đồng Phú,Huyện,23,"dong phu,huyen dong phu"
322,Đồng Xoài,Thị xã,23,"dong xoai,thi xa dong xoai"
323,Hớn Quản,Huyện,23,"hon quan,huyen hon quan"
324,Lộc Ninh,Huyện,23,"loc ninh,huyen loc ninh"
325,Phú Riềng,Huyện,23,"phu rieng,huyen phu rieng"
326,Phước Long,Thị xã,23,"phuoc long,thi xa phuoc long"
327,Ân Thi,Huyện,24,"an thi,huyen an thi"
328,Hưng Yên,Thành phố,24,"hung yen,thanh pho hung yen"
329,Khoái Châu,Huyện,24,"khoai chau,huyen khoai chau"
330,Kim Động,Huyện,24,"kim dong,huyen kim dong"
331,Mỹ Hào,Huyện,24,"my hao,huyen my hao"
332,Phù Cừ,Huyện,24,"phu cu,huyen phu cu"
333,Tiên Lữ,Huyện,24,"tien lu,huyen tien lu"
334,Văn Giang,Huyện,24,"van giang,huyen van giang"
335,Văn Lâm,Huyện,24,"van lam,huyen van lam"
336,Yên Mỹ,Huyện,24,"yen my,huyen yen my"
337,An Lão,Huyện,25,"an lao,huyen an lao"
338,An Nhơn,Huyện,25,"an nhon,huyen an nhon"
339,Hoài Ân,Huyện,25,"hoai an,huyen hoai an"
340,Hoài Nhơn,Huyện,25,"hoai nhon,huyen hoai nhon"
341,Phù Cát,Huyện,25,"phu cat,huyen phu cat"
342,Phù Mỹ,Huyện,25,"phu my,huyen phu my"
343,Quy Nhơn,Thành phố,25,"quy nhon,thanh pho quy nhon"
344,Tây Sơn,Huyện,25,"tay son,huyen tay son"
345,Tuy Phước,Huyện,25,"tuy phuoc,huyen tuy phuoc"
346,Vân Canh,Huyện,25,"van canh,huyen van canh"
347,Vĩnh Thạnh,Huyện,25,"vinh thanh,huyen vinh thanh"
348,Cái Bè,Huyện,26,"cai be,huyen cai be"
349,Cai Lậy,Thị xã,26,"cai lay,thi xa cai lay"
350,Châu Thành,Huyện,26,"chau thanh,huyen chau thanh"
351,Chợ Gạo,Huyện,26,"cho gao,huyen cho gao"
352,Gò Công,Thị xã,26,"go cong,thi xa go cong"
353,Gò Công Đông,Huyện,26,"go cong dong,huyen go cong dong"
354,Gò Công Tây,Huyện,26,"go cong tay,huyen go cong tay"
355,Huyện Cai Lậy,Huyện,26,"huyen cai lay,huyen huyen cai lay"
356,Mỹ Tho,Thành phố,26,"my tho,thanh pho my tho"
357,Tân Phú Đông,Huyện,26,"tan phu dong,huyen tan phu dong"
358,Tân Phước,Huyện,26,"tan phuoc,huyen tan phuoc"
359,Đông Hưng,Huyện,27,"dong hung,huyen dong hung"
